"user id	","tweets content	",created on,
CNN,"JUST IN: A presumptive coronavirus case in Oregon is thought to be the third in the US from community transmission, but the CDC has not yet confirmed the state's test https://t.co/3TMBGYEddA",2/29/2020 11:15,
CNN,"President Trump's meeting with Association of Southeast Nations leaders has been postponed, a senior administration official told CNN. The meeting had been due to take place in Las Vegas, Nevada, on March 14. https://t.co/Xy6w7J84gA",2/29/2020 10:51,
CNN,As the number of women who accuse a former Columbia University gynecologist of sexual assault keeps growing -- it currently stands at 78 -- new evidence has emerged that indicates university officials were warned about his behavior decades ago https://t.co/WEWThOCKEz,2/29/2020 10:49,
CNN,The Centers for Disease Control has some suggestions about facial hair and using face masks https://t.co/EqUcM87nUL,2/29/2020 10:44,
CNN,"The global death toll from coronavirus has reached 2,922. On Friday, 47 more people died in mainland China from coronavirus, according to China’s National Health Commission.

Follow the latest updates: https://t.co/VL4XUPiTZw",2/29/2020 10:42,
CNN,"The novel coronavirus has symptoms that include a runny nose, cough, sore throat, possibly a headache and maybe a fever, which can last for a couple of days https://t.co/e7kAxDYcaK https://t.co/NrGFydWlfV",2/29/2020 10:41,
CNN,"The US has confirmed its 64th coronavirus case. The new case was reported in Solano County, California. The individual was a Travis Air Force Base evacuee and passenger of the Diamond Princess cruise ship in Yokohama. https://t.co/1vik3XsQu9",2/29/2020 10:28,
CNN,"The web address, or domain name, used by the impersonator was registered in Russia, online records show. But ""any individual can register a domain name in any particular country,"" the DNC's chief security officer said in a security alert sent to campaigns. https://t.co/einYN8qoBB",2/29/2020 10:20,
CNN,An impersonator posing as a Bernie Sanders campaign official contacted at least two other Democratic presidential campaigns in an attempt to arrange calls with their candidates https://t.co/X7hv1wVjx1,2/29/2020 10:16,
CNN,Who will come out on top? 14 more states open their polls for the primary race on Tuesday. Join us for Super Tuesday live coverage starting at 4 p.m. ET on CNN https://t.co/I5UmuFy45t,2/29/2020 10:00,
CNN,RT @AC360: .@AndersonCooper digs into the Trump administration’s “all-hands-on-deck” response to the coronavirus that hasn’t quite happened…,2/29/2020 9:54,
CNN,"""At this time, CDC recommends avoiding non-essential travel to Italy,"" the State Department's advisory says. 

There is only one other travel advisory higher – Level 4, which means do not travel. https://t.co/DAccUjTwKE",2/29/2020 9:52,
CNN,"The US State Department raised its travel advisory for Italy to the second-highest-level warning, Level 3: Reconsider Travel, due to the novel coronavirus https://t.co/4QfvLZZRZp",2/29/2020 9:49,
CNN,"Some NYU doctors and other experts are convinced there could be more coronavirus cases in the US than have been officially announced, based on factors such as testing delays and the fact that the virus can spread before a infected person shows any signs https://t.co/yLI8tUqXCr",2/29/2020 9:32,
